FrameNumber,PersonID,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,1,1354.43,203.607,1280.79,247.828,1295.52,253.65,1386.72,359.603,1492.72,333.113,1260.29,244.814,0.0,0.0,0.0,0.0,0.0,0.0,1333.75,465.528,1486.76,433.07,1554.51,556.854,0.0,0.0,0.0,0.0,0.0,0.0,1348.53,194.734,0.0,0.0,1307.3,197.738,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1354.42,203.585,1280.74,247.846,1292.58,253.597,1383.89,359.587,1492.73,333.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.83,462.628,1489.7,433.088,1554.52,559.749,0.0,0.0,0.0,0.0,0.0,0.0,1348.53,194.751,0.0,0.0,1307.3,197.767,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1354.43,203.599,1280.76,247.838,1292.63,253.595,1383.9,359.558,1492.72,333.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.78,465.498,1489.69,433.104,1554.54,559.775,0.0,0.0,0.0,0.0,0.0,0.0,1348.54,194.759,0.0,0.0,1307.32,197.774,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1354.44,203.595,1280.72,247.827,1295.51,253.655,1383.82,359.512,1492.68,333.059,1260.19,244.824,0.0,0.0,0.0,0.0,0.0,0.0,1333.83,462.673,1486.88,433.219,1557.42,556.803,0.0,0.0,0.0,0.0,0.0,0.0,1348.54,194.75,0.0,0.0,1307.31,197.758,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1354.43,203.603,1280.73,247.843,1295.51,253.65,1383.86,356.678,1492.76,330.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.72,462.668,1486.87,433.044,1554.49,556.782,0.0,0.0,0.0,0.0,0.0,0.0,1348.53,194.761,0.0,0.0,1307.31,197.762,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1354.43,203.583,1280.72,247.792,1292.59,250.767,1386.76,356.674,1492.77,330.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.54,194.744,0.0,0.0,1307.33,197.763,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1354.41,203.613,1277.91,247.839,1292.63,253.607,1389.68,356.674,1492.76,330.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.83,468.494,1483.93,430.132,1554.53,556.764,0.0,0.0,0.0,0.0,0.0,0.0,1348.53,194.758,0.0,0.0,1307.33,197.752,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1354.41,203.631,1280.7,247.803,1292.6,250.766,1389.73,359.517,1492.76,330.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.91,471.414,1483.88,427.255,1551.56,556.778,0.0,0.0,0.0,0.0,0.0,0.0,1348.53,194.773,0.0,0.0,1307.32,197.741,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1354.4,203.605,1277.88,247.805,1292.59,250.752,1392.6,356.592,1492.8,324.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.85,474.33,1478.0,418.475,1554.51,556.775,0.0,0.0,0.0,0.0,0.0,0.0,1348.51,194.749,0.0,0.0,1307.32,197.749,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1354.39,203.623,1280.7,247.815,1289.69,250.733,1395.49,356.648,1495.56,324.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.91,468.511,1483.92,430.212,1551.61,556.764,0.0,0.0,0.0,0.0,0.0,0.0,1348.51,194.751,0.0,0.0,1307.32,197.748,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
