FrameNumber,PersonID,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,1,1327.85,259.454,1260.23,327.216,1277.79,333.037,1389.74,342.021,1448.7,318.45,1248.4,321.317,1330.89,418.433,1422.12,409.542,1333.83,506.698,1330.93,527.247,1516.17,400.774,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1319.05,244.687,0.0,0.0,1286.82,247.734,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1327.86,259.448,1260.26,327.179,1274.94,333.022,1389.74,342.055,1448.64,318.486,1251.35,321.268,1330.83,415.599,1422.07,409.54,1333.85,503.875,1330.91,527.238,1516.18,403.733,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1319.05,244.68,0.0,0.0,1289.59,247.747,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1327.85,256.588,1260.24,327.16,1277.81,330.184,1389.68,342.06,1448.6,318.498,1245.52,321.267,1330.84,415.594,1422.07,409.534,1333.8,503.851,1330.9,524.412,1516.24,400.816,0.0,0.0,0.0,0.0,1472.18,424.289,0,0,1319.05,244.666,0.0,0.0,1289.6,247.743,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1327.85,256.587,1260.22,327.163,1277.84,330.147,1386.8,342.039,1448.63,318.47,1245.48,321.287,1330.82,415.606,1422.07,409.514,1333.86,503.802,1330.95,524.345,1516.23,403.659,0.0,0.0,0.0,0.0,1472.22,421.382,0,0,1319.04,244.674,0.0,0.0,1289.6,247.743,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1327.87,259.444,1260.22,324.325,1277.81,330.176,1386.76,342.032,1448.64,318.473,1245.53,321.26,1330.84,415.503,1422.07,409.52,1333.8,503.842,1330.86,524.434,1516.23,403.744,0.0,0.0,0.0,0.0,1472.23,424.291,0,0,1319.05,244.688,0.0,0.0,1286.82,247.757,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1327.85,256.577,1260.22,327.19,1277.8,330.196,1386.76,342.015,1448.6,318.486,1245.52,321.298,1330.87,415.511,1422.09,409.516,1333.88,503.751,1330.93,524.32,1516.22,403.703,0.0,0.0,1345.56,480.313,1472.15,424.321,0,0,1319.02,244.658,0.0,0.0,1289.6,247.749,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1327.84,256.565,1260.2,327.176,1277.88,330.173,1386.74,342.02,1448.57,318.488,1242.58,321.303,1330.83,415.582,1422.09,409.498,1330.95,506.665,1330.86,524.417,1516.17,400.826,0.0,0.0,0.0,0.0,1472.07,421.407,0,0,1316.19,244.647,0.0,0.0,1289.59,247.744,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1327.84,256.575,1260.21,327.151,1277.86,330.116,1383.88,342.043,1448.58,318.491,1245.48,321.296,1330.79,418.393,1422.1,409.514,1330.96,503.866,1330.83,524.389,1513.37,403.684,0.0,0.0,0.0,0.0,1472.12,421.393,0,0,1319.02,244.666,0.0,0.0,1286.82,247.749,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,1327.86,256.589,1260.23,327.191,1277.8,330.188,1386.79,342.072,1448.6,318.485,1248.41,321.307,1330.81,418.423,1422.05,409.532,1330.97,506.672,1330.84,524.429,1513.37,403.684,0.0,0.0,0.0,0.0,1472.13,421.383,0,0,1319.04,244.656,0.0,0.0,1289.6,247.758,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1327.86,256.609,1260.25,327.219,1277.79,333.071,1392.68,344.807,1448.71,318.429,1248.45,321.325,1330.85,418.404,1422.03,409.576,1339.66,500.865,1333.85,518.523,1516.2,403.704,0.0,0.0,0.0,0.0,1469.26,427.231,0,0,1319.04,244.68,0.0,0.0,1286.8,247.773,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
