FrameNumber,PersonID,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,2,1448.48,668.446,1448.7,812.836,1324.94,812.835,0.0,0.0,0.0,0.0,1583.99,812.922,1616.44,983.567,1660.39,1030.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.15,639.167,1475.1,644.916,1375.02,671.692,1516.14,671.642,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1448.48,668.45,1448.68,812.856,1324.92,812.885,0.0,0.0,0.0,0.0,1583.97,812.913,1619.25,983.543,1657.63,1030.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.15,639.179,1475.1,644.911,1375.02,671.685,1516.13,671.638,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1448.5,668.462,1448.69,812.848,1324.95,812.855,0.0,0.0,0.0,0.0,1583.98,812.913,1619.27,983.544,1660.4,1030.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.17,639.195,1475.13,644.913,1375.02,671.683,1516.16,671.598,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1448.49,668.473,1448.69,812.85,1324.92,812.85,0.0,0.0,0.0,0.0,1584.01,812.921,1619.31,983.536,1660.42,1030.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.16,639.206,1475.12,644.928,1375.01,671.689,1516.16,671.631,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1448.48,668.455,1448.67,812.861,1324.9,812.868,0.0,0.0,0.0,0.0,1583.98,812.919,1619.29,983.58,1660.41,1030.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.14,639.2,1475.1,644.911,1375.0,671.688,1516.15,671.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,1448.47,665.737,1448.68,812.834,1324.91,812.828,0.0,0.0,0.0,0.0,1584.0,812.908,1619.28,983.534,1660.44,1030.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.12,639.192,1475.09,644.898,1374.98,671.669,1516.13,671.617,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,1448.47,668.46,1448.68,812.85,1324.88,812.842,0.0,0.0,0.0,0.0,1586.8,812.938,1619.3,983.552,1660.48,1030.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.13,639.208,1475.1,644.921,1375.0,671.685,1516.14,671.61,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,1448.49,668.468,1448.71,812.838,1324.9,812.847,0.0,0.0,0.0,0.0,1586.79,812.91,1619.27,983.517,1660.42,1030.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.14,639.214,1475.11,644.917,1375.01,671.699,1516.17,671.614,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,1448.49,668.464,1448.7,812.845,1324.88,812.874,0.0,0.0,0.0,0.0,1586.8,812.913,1619.3,983.591,1660.48,1030.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.16,639.196,1475.11,644.917,1375.0,671.691,1516.18,671.559,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,1448.5,668.446,1448.69,812.823,1324.88,812.835,0.0,0.0,0.0,0.0,1586.79,812.899,1616.45,983.606,1660.55,1030.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.13,639.176,1475.1,642.164,1375.0,671.686,1516.17,671.546,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
