FrameNumber,PersonID,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
0,0,530.156,218.316,462.575,309.584,394.875,347.851,477.224,509.792,645.005,524.375,530.258,268.35,597.853,362.532,700.967,400.735,515.615,503.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.918,200.777,530.271,197.636,436.185,221.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,530.157,218.329,462.599,309.495,394.916,347.806,465.556,512.678,645.072,524.365,530.288,268.298,597.885,362.476,698.135,397.889,527.401,500.772,0.0,0.0,0.0,0.0,0.0,0.0,574.46,459.706,0.0,0.0,0.0,0.0,506.61,200.795,530.269,197.683,436.187,221.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,530.152,218.319,462.549,309.559,394.851,347.775,462.686,512.671,645.028,527.176,530.279,268.37,597.89,362.498,698.158,397.892,527.307,500.803,0.0,0.0,0.0,0.0,0.0,0.0,574.342,459.765,0.0,0.0,0.0,0.0,503.934,200.794,530.274,197.664,436.203,221.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,530.157,218.325,462.54,309.476,397.819,344.882,462.548,512.67,645.023,524.413,527.449,268.339,597.845,362.502,700.974,400.784,521.425,500.899,0.0,0.0,0.0,0.0,0.0,0.0,568.503,462.662,0.0,0.0,0.0,0.0,503.934,200.794,530.282,197.659,436.209,221.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,527.482,218.31,459.778,309.468,394.96,344.935,471.426,509.764,642.176,527.183,527.417,268.296,597.835,362.491,701.005,400.756,527.297,500.844,0.0,0.0,0.0,0.0,0.0,0.0,571.463,462.547,0.0,0.0,0.0,0.0,503.916,200.779,530.254,197.623,436.21,221.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,527.481,218.323,459.776,306.643,397.879,344.89,474.3,509.777,642.157,524.422,527.351,268.29,595.072,362.445,700.993,400.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.912,200.785,530.255,197.634,436.206,221.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,527.481,218.313,459.752,309.473,394.946,347.818,465.531,509.714,644.955,524.431,527.372,268.242,595.084,362.452,701.009,400.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.915,200.773,530.238,197.638,436.19,221.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,530.161,218.311,459.748,309.479,394.902,347.777,468.518,506.857,644.949,524.425,527.408,268.259,595.089,362.457,698.14,400.73,518.536,503.818,0.0,0.0,0.0,0.0,0.0,0.0,571.439,462.65,0.0,0.0,0.0,0.0,503.929,200.763,530.264,197.602,436.184,221.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,530.173,218.319,459.791,312.389,397.839,347.851,465.536,515.522,642.132,524.429,527.414,268.39,597.905,362.543,700.972,400.815,515.566,506.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.93,200.76,530.26,197.61,436.212,221.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,530.183,218.31,459.796,312.395,397.826,347.821,474.316,512.669,645.011,524.376,527.428,268.403,597.889,362.53,698.083,400.794,524.435,503.688,0.0,0.0,0.0,0.0,0.0,0.0,568.556,462.585,0.0,0.0,0.0,0.0,506.608,200.757,530.272,197.616,436.205,221.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,530.184,218.32,459.715,312.379,392.035,350.727,480.138,509.679,645.003,521.475,527.356,268.359,595.017,362.484,698.009,403.721,524.437,503.712,0.0,0.0,0.0,0.0,0.0,0.0,568.582,462.642,0.0,0.0,0.0,0.0,506.622,200.761,530.293,197.627,436.228,221.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,530.182,218.304,459.775,309.517,397.802,344.879,462.678,509.697,645.066,524.309,527.371,268.366,595.002,362.514,698.122,406.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.615,200.752,530.295,197.615,436.224,221.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,530.17,218.303,459.765,309.533,394.876,344.901,474.311,506.856,644.95,521.442,530.182,268.398,595.024,362.591,698.066,406.636,509.683,503.872,0.0,0.0,0.0,0.0,0.0,0.0,559.709,465.588,0.0,0.0,0.0,0.0,506.616,200.747,530.298,197.638,436.233,221.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,530.172,218.276,459.726,309.522,394.924,347.795,480.144,506.739,645.033,521.505,527.317,268.3,592.117,362.551,698.096,406.645,506.821,503.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.62,200.74,530.299,197.618,436.222,221.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,530.18,218.265,459.728,312.424,394.887,350.737,465.508,509.682,644.968,524.291,527.37,268.407,594.984,362.561,698.102,406.615,521.439,500.786,0.0,0.0,0.0,0.0,0.0,0.0,565.622,462.577,0.0,0.0,0.0,0.0,506.627,200.728,530.289,197.617,436.237,221.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,530.192,218.271,459.629,309.543,392.045,347.814,471.435,506.799,644.97,521.473,527.273,268.318,594.963,362.521,698.056,403.776,524.343,500.833,0.0,0.0,0.0,0.0,0.0,0.0,568.514,459.762,0.0,0.0,0.0,0.0,506.648,200.708,530.33,197.614,436.226,221.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
